NGAY,GIADONGCUA,MACOPHIEU,GIAMOCUA,GIACAONHAT,GIATHAPNHAT,KLGD,VONHOA,SOLUONGCOPHIEULUUHANH,GIATRIGIAODICH,THAYDOI,GIATHAMCHIEU,KLNIEMYET
04/12/2020,41.65,BID,41.6,42.3,41.5,2563040,1.68E+11,4022018040,1675170514,0.05,41.6,4022018040
04/12/2020,34.7,CTG,34,34.9,33.9,18959210,1.29E+11,3723404556,1292021381,0.9,33.8,3723404556
04/12/2020,17.05,EIB,17.2,17.2,17.05,326580,20961831013,1229432904,2096183101,-0.1,17.2,1235522904
04/12/2020,55.7,FPT,55.4,55.9,55.4,1380920,43663514627,783905110,4366351463,0.1,55.6,783987486
04/12/2020,85.5,GAS,85,86.4,84.5,1502870,1.64E+11,1913950000,163642725,1,84.5,1895000000
04/12/2020,21.7,HDB,21.8,21.9,21.7,3959250,34584693339,1593764670,3458469334,-0.1,21.8,1270776365
04/12/2020,36.95,HPG,37.05,37.25,36.7,17767110,1.22E+11,3313282659,1224257943,0.1,36.85,3313282659
04/12/2020,26.95,KDH,27.05,27.15,26.9,1328770,14844237304,550806579,148442373,-0.1,27.05,578657219
04/12/2020,20.95,MBB,21,21.15,20.85,18416060,58097298754,2773140752,5809729875,-0.1,21,2798756872
04/12/2020,86,MSN,84,87.5,83.5,1978040,1.01E+11,1174683246,1010227592,2.6,83.4,1174683246
04/12/2020,113.9,MWG,114.4,114.8,113.5,76807,51556886711,452650454,87483173,-0.7,114.7,345562841
04/12/2020,60.4,NVL,60.3,60.4,60,1707510,59509702309,985259972,103133604,0,60.4,984273682
04/12/2020,50.8,PLX,50.9,51.6,50.6,90129,60899712338,1198813235,45785532,0.4,50.6,1293878081
04/12/2020,78.5,PNJ,77.5,78.5,77.4,90444,17672236041,225124026,70998540,1.29,77.5,225293585
04/12/2020,11.55,POW,11.25,11.85,11.1,15525080,27048616980,2341871600,179314674,1.32,11.4,2341871600
04/12/2020,47,REE,47.5,47.5,46.9,36431,14572393522,310050926,17122570,-0.42,47.2,310058841
04/12/2020,2.21,ROS,2.23,2.24,2.2,4636440,1254391847,567598121,10246532,-0.45,2.22,567598121
04/12/2020,202,SAB,195,204,195,15981,1.30E+11,641281186,32281620,3.59,195,641281186
04/12/2020,19.2,SBT,19,19.7,18.65,4559540,11680373472,608352785,87543168,1.32,18.95,586740552
04/12/2020,20.5,SSI,20.2,20.3,20,6343360,12319195257,600936354,127184368,-0.74,20.2,520063684
04/12/2020,15.6,STB,15.7,16.1,15.5,24514030,28136993492,1803653429,382418868,-0.32,15.65,1885215716
04/12/2020,24.8,TCB,24.85,25,24.75,16507860,88545653400,3570389250,409394928,-1.31,25,3500139962
04/12/2020,19.7,TCH,19.7,19.7,19.4,19491690,6959449811,353271564,383986293,-1.75,20.05,362994014
04/12/2020,91.1,VCB,93.2,93.5,91.1,860900,3.38E+11,3708877448,78427990,-2.57,93.5,3708877448
04/12/2020,84.9,VHM,85,85.2,84.1,2190950,2.79E+11,3289513918,186011655,0,84.9,3349513918
04/12/2020,105.8,VIC,105.8,106.5,104.5,797060,3.58E+11,3382430590,84328948,0,105.8,3382430890
04/12/2020,118.5,VJC,118.2,119,117.9,496960,63141373389,532838594,58889760,-0.25,118.8,541611334
04/12/2020,109,VNM,109.5,109.7,108.8,1571130,2.28E+11,2089645346,171253170,-0.46,109.5,2089955445
04/12/2020,27.8,VPB,28.2,28.55,27.8,7675980,67769404575,2437748366,213392244,-1.77,28.3,2456748366
04/12/2020,28,VRE,28.4,28.4,28,3862410,63624915480,2272318410,108147480,-1.41,28.4,2328818410
