NGAY,GIADONGCUA,MACOPHIEU,GIAMOCUA,GIACAONHAT,GIATHAPNHAT,KLGD,VONHOA ,SOLUONGCOPHIEULUUHANH,GIATRIGIAODICH,THAYDOI,GIATHAMCHIEU,KLNIEMYET
4/12/2020,41.65,BID,41.6,42.3,41.5,2563040,167517.05,"4,022,018,040",1675170514,0.0012,41.6,4022018040
4/12/2020,34.7,CTG,34,34.9,33.9,18959210,129202.14,"3,723,404,556",1292021381,0.0266,33.8,3723404556
4/12/2020,17.05,EIB,17.2,17.2,17.05,326580,20961.83,"1,229,432,904",2096183101,-0.0087,17.2,1235522904
4/12/2020,55.7,FPT,55.4,55.9,55.4,1380920,43663.51,"783,905,110",4366351463,0.0018,55.6,783987486
4/12/2020,85.5,GAS,85,86.4,84.5,1502870,163642.73,"1,913,950,000",163642725,0.0118,84.5,1895000000
4/12/2020,21.7,HDB,21.8,21.9,21.7,3959250,34584.69,"1,593,764,670",3458469334,-0.0046,21.8,1270776365
4/12/2020,36.95,HPG,37.05,37.25,36.7,17767110,122425.79,"3,313,282,659",1224257943,0.0027,36.85,3313282659
4/12/2020,26.95,KDH,27.05,27.15,26.9,1328770,14844.24,"550,806,579",148442373,-0.0037,27.05,578657219
4/12/2020,20.95,MBB,21,21.15,20.85,18416060,58097.3,"2,773,140,752",5809729875,-0.0024,21,2798756872
4/12/2020,86,MSN,84,87.5,83.5,1978040,101022.76,"1,174,683,246",1010227592,0.0312,83.4,1174683246
4/12/2020,113.9,MWG,114.4,114.8,113.5,76807,51556.89,"452,650,454",87483173,-0.007,114.7,345562841
4/12/2020,60.4,NVL,60.3,60.4,60,1707510,59509.7,"985,259,972",103133604,0,60.4,984273682
4/12/2020,50.8,PLX,50.9,51.6,50.6,90129,60899.71,"1,198,813,235",45785532,0.004,50.6,1293878081
4/12/2020,78.5,PNJ,77.5,78.5,77.4,90444,17672.24,"225,124,026",70998540,0.0129,77.5,225293585
4/12/2020,11.55,POW,11.25,11.85,11.1,15525080,27048.62,"2,341,871,600",179314674,0.0132,43.932,2341871600
4/12/2020,47,REE,47.5,47.5,46.9,36431,14572.39,"310,050,926",17122570,-0.0042,47.2,310058841
4/12/2020,2.21,ROS,2.23,2.24,2.2,4636440,1254.39,"567,598,121",10246532,-0.0045,2.22,567598121
4/12/2020,202,SAB,195,"204,00",195,15981,129538.8,"641,281,186",32281620,0.0359,195,641281186
4/12/2020,19.2,SBT,19,19.7,18.65,4559540,11680.37,"608,352,785",87543168,0.0132,18.95,586740552
4/12/2020,20.5,SSI,20.2,20.3,20,6343360,12048.77,"600,936,354",127184368,-0.0074,43.881,520063684
4/12/2020,15.6,STB,15.7,16.1,15.5,24514030,28136.99,1803653429,382418868,-0.0032,15.65,1885215716
4/12/2020,24.8,TCB,24.85,25,24.75,16507860,88545.65,3570389250,409394928,-0.008,25,3500139962
4/12/2020,19.7,TCH,19.7,19.7,19.4,19491690,6959.45,353271564,383986293,-0.0175,43.971,362994014
4/12/2020,91.1,VCB,93.2,93.5,91.1,860900,337878.7,3708877448,78427990,-0.0257,93.5,3708877448
4/12/2020,84.9,VHM,85,85.2,84.1,2190950,279279.7,3289513918,186011655,0,84.9,3349513918
4/12/2020,105.8,VIC,105.8,106.5,104.5,797060,357861.2,3382430590,84328948,0,105.8,3382430890
4/12/2020,118.5,VJC,118.2,119,117.9,496960,63141.37,532.838.594,58889760,-0.0025,118.8,541611334
4/12/2020,109,VNM,109.5,109.7,108.8,1571130,227771.3,2089645346,171253170,-0.0046,109.5,2089955445
4/12/2020,27.8,VPB,28.2,28.55,27.8,7675980,67769.4,2437748366,213392244,-0.0177,43.918,2456748366
4/12/2020,28,VRE,28.4,28.4,28,3862410,63624.92,2272318410,108147480,-0.0141,43.949,2328818410
